home_team,away_team,home_goals,away_goals,result,season,home_avg_goals_scored,home_avg_goals_conceded,home_wins,home_draws,home_losses,home_matches_played,home_win_rate,away_avg_goals_scored,away_avg_goals_conceded,away_wins,away_draws,away_losses,away_matches_played,away_win_rate
Bochum,Gladbach,1,2,loss,1988-1989,1.25,1.0833333333333333,5,4,3,12,0.4166666666666667,1.3333333333333333,1.25,4,5,3,12,0.3333333333333333
Köln,Hannover 96,1,0,win,1988-1989,1.6363636363636365,0.8181818181818182,5,2,4,11,0.45454545454545453,1.0909090909090908,1.8181818181818181,1,5,5,11,0.09090909090909091
Stuttgart,Hamburger SV,4,2,win,1988-1989,1.7272727272727273,0.6363636363636364,7,1,3,11,0.6363636363636364,1.5833333333333333,1.0,6,3,3,12,0.5
St Pauli,Bayern Munich,0,0,draw,1988-1989,1.0833333333333333,1.0,3,7,2,12,0.25,2.1818181818181817,0.6363636363636364,6,5,0,11,0.5454545454545454
Nürnberg,Werder Bremen,0,1,loss,1988-1989,1.0,1.8333333333333333,3,2,7,12,0.25,1.4,1.4,3,5,2,10,0.3
Mannheim,S'gart Kickers,2,2,draw,1988-1989,0.8181818181818182,1.4545454545454546,1,5,5,11,0.09090909090909091,0.8181818181818182,2.272727272727273,2,2,7,11,0.18181818181818182
Uerdingen,Dortmund,0,0,draw,1988-1989,1.1818181818181819,1.1818181818181819,3,6,2,11,0.2727272727272727,1.0,1.0909090909090908,2,5,4,11,0.18181818181818182
Eint Frankfurt,Leverkusen,1,1,draw,1988-1989,0.36363636363636365,1.6363636363636365,2,1,8,11,0.18181818181818182,1.7272727272727273,1.3636363636363635,3,7,1,11,0.2727272727272727
Karlsruher,Kaiserslautern,4,1,win,1988-1989,1.9090909090909092,1.7272727272727273,6,2,3,11,0.5454545454545454,1.4545454545454546,1.3636363636363635,3,5,3,11,0.2727272727272727
Werder Bremen,Bochum,2,0,win,1988-1989,1.3636363636363635,1.2727272727272727,4,5,2,11,0.36363636363636365,1.2307692307692308,1.1538461538461537,5,4,4,13,0.38461538461538464
Hamburger SV,Mannheim,5,1,win,1988-1989,1.6153846153846154,1.2307692307692308,6,3,4,13,0.46153846153846156,0.9166666666666666,1.5,1,6,5,12,0.08333333333333333
Hannover 96,Uerdingen,0,5,loss,1988-1989,1.0,1.75,1,5,6,12,0.08333333333333333,1.0833333333333333,1.0833333333333333,3,7,2,12,0.25
Dortmund,Nürnberg,4,0,win,1988-1989,0.9166666666666666,1.0,2,6,4,12,0.16666666666666666,0.9230769230769231,1.7692307692307692,3,2,8,13,0.23076923076923078
Kaiserslautern,Stuttgart,6,1,win,1988-1989,1.4166666666666667,1.5833333333333333,3,5,4,12,0.25,1.9166666666666667,0.75,8,1,3,12,0.6666666666666666
Bayern Munich,Köln,2,0,win,1988-1989,2.0,0.5833333333333334,6,6,0,12,0.5,1.5833333333333333,0.75,6,2,4,12,0.5
S'gart Kickers,St Pauli,2,2,draw,1988-1989,0.9166666666666666,2.25,2,3,7,12,0.16666666666666666,1.0,0.9230769230769231,3,8,2,13,0.23076923076923078
