home_team,away_team,date,attendance,venue,referee,status,home_goals,away_goals,season,home_form_goals_scored,home_form_goals_conceded,home_form_win_rate,away_form_goals_scored,away_form_goals_conceded,away_form_win_rate,result
England eng,ec Ecuador,2006-06-25,52000.0,Mercedes-Benz Arena (Neutral Site),,played,1.0,0.0,2006,1.4,0.4,0.6896551724137931,1.2,1.2,0.3333333333333333,win
England eng,ec Ecuador,2006-06-25,52000.0,Mercedes-Benz Arena (Neutral Site),,played,1.0,0.0,2006,1.4,0.0,0.6949152542372882,1.2,1.0,0.2857142857142857,win
Switzerland ch,ua Ukraine,2006-06-26,45000.0,RheinEnergieSTADION (Neutral Site),,scheduled,,,2006,1.8,2.2,0.5882352941176471,2.0,2.0,0.5,
Italy it,au Australia,2006-06-26,46000.0,Fritz-Walter-Stadion (Neutral Site),,played,1.0,0.0,2006,1.4,0.8,0.735632183908046,0.8,2.0,0.0,win
Italy it,au Australia,2006-06-26,46000.0,Fritz-Walter-Stadion (Neutral Site),,played,1.0,0.0,2006,1.4,0.4,0.7386363636363636,0.8,1.8,0.0,win
Switzerland ch,ua Ukraine,2006-06-26,45000.0,RheinEnergieSTADION (Neutral Site),,scheduled,,,2006,1.8,2.2,0.5882352941176471,2.0,2.0,0.5,
Brazil br,gh Ghana,2006-06-27,65000.0,Signal Iduna Park (Neutral Site),,played,3.0,0.0,2006,1.4,0.0,0.8145161290322581,1.0,1.0,0.5,win
Spain es,fr France,2006-06-27,43000.0,HDI-Arena (Neutral Site),,played,1.0,3.0,2006,3.4,0.6,0.6585365853658537,1.4,0.8,0.3157894736842105,loss
Brazil br,gh Ghana,2006-06-27,65000.0,Signal Iduna Park (Neutral Site),,played,3.0,0.0,2006,1.8,0.0,0.816,0.8,1.4,0.4,win
Spain es,fr France,2006-06-27,43000.0,HDI-Arena (Neutral Site),,played,1.0,3.0,2006,3.0,1.0,0.6428571428571429,1.4,1.0,0.3333333333333333,loss
Germany de,ar Argentina,2006-06-30,72000.0,Olympiastadion Berlin (Neutral Site),,scheduled,,,2006,2.0,0.4,0.7959183673469388,0.6,0.8,0.05714285714285714,
Italy it,ua Ukraine,2006-06-30,50000.0,Volksparkstadion (Neutral Site),,played,3.0,0.0,2006,1.2,0.4,0.7415730337078652,2.0,2.0,0.5,win
Germany de,ar Argentina,2006-06-30,72000.0,Olympiastadion Berlin (Neutral Site),,scheduled,,,2006,2.0,0.4,0.7959183673469388,0.6,0.8,0.05714285714285714,
Italy it,ua Ukraine,2006-06-30,50000.0,Volksparkstadion (Neutral Site),,played,3.0,0.0,2006,1.4,0.4,0.7444444444444445,1.6,2.2,0.4,win
England eng,pt Portugal,2006-07-01,52000.0,Veltins-Arena (Neutral Site),,scheduled,,,2006,1.4,0.0,0.7,1.2,1.4,0.25,
Brazil br,fr France,2006-07-01,48000.0,Commerzbank-Arena (Neutral Site),,played,0.0,1.0,2006,2.2,0.0,0.8174603174603174,2.0,0.8,0.35,loss
Brazil br,fr France,2006-07-01,48000.0,Commerzbank-Arena (Neutral Site),,played,0.0,1.0,2006,2.0,0.2,0.8110236220472441,2.2,0.4,0.36585365853658536,loss
England eng,pt Portugal,2006-07-01,52000.0,Veltins-Arena (Neutral Site),,scheduled,,,2006,1.4,0.0,0.7,1.2,1.4,0.25,
Germany de,it Italy,2006-07-04,65000.0,Signal Iduna Park (Neutral Site),,played,0.0,2.0,2006,2.0,0.4,0.7959183673469388,1.4,1.0,0.22727272727272727,loss
Germany de,it Italy,2006-07-04,65000.0,Signal Iduna Park (Neutral Site),,played,0.0,2.0,2006,1.2,0.4,0.78,1.6,0.8,0.24444444444444444,loss
Portugal pt,fr France,2006-07-05,66000.0,Allianz Arena (Neutral Site),,played,0.0,1.0,2006,1.6,0.4,0.8333333333333334,2.0,0.4,0.38095238095238093,loss
Portugal pt,fr France,2006-07-05,66000.0,Allianz Arena (Neutral Site),,played,0.0,1.0,2006,1.2,0.6,0.8,1.8,0.4,0.3953488372093023,loss
Germany de,pt Portugal,2006-07-08,52000.0,Mercedes-Benz Arena (Neutral Site),,played,3.0,1.0,2006,1.0,0.8,0.7647058823529411,1.2,1.4,0.25,win
